Sample_id	Sample	extraction_ID	Coral	Treatment	Tank	Settlement	Percent_settled	input	filtered	percentage.of.input.passed.filter	denoised	merged	percentage.of.input.merged	non.chimeric	percentage.of.input.non.chimeric
SE3484_S86	SE3484	1489	Plob	Light_2M	MIS5C	Low	50	9100	8511	93.53	8092	7565	83.13	7509	82.52
SE3485_S3	SE3485	1496	Plob	Light_2M	MIS5C	Low	25	25559	24062	94.14	23267	22329	87.36	22210	86.9
SE3486_S15	SE3486	1497	Plob	Light_2M	MIS5C	Low	33.33333333	28682	26953	93.97	26145	25064	87.39	24829	86.57
SE3487_S27	SE3487	1478	Plob	Light_2M	MIS5C	High	66.66666667	31026	29079	93.72	28235	27201	87.67	27049	87.18
SE3488_S39	SE3488	1490	Plob	Light_2M	MIS5C	High	66.66666667	33868	31611	93.34	30803	29718	87.75	29502	87.11
SE3489_S51	SE3489	1622	Plob	Light_2M	MIS7C	None	0	48852	45709	93.57	44509	42866	87.75	42596	87.19
SE3490_S63	SE3490	1624	Plob	Light_2M	MIS7C	None	0	27317	25651	93.9	24928	23930	87.6	23925	87.58
SE3491_S75	SE3491	1628	Plob	Light_2M	MIS7C	None	0	23121	21718	93.93	21119	20334	87.95	20332	87.94
SE3492_S87	SE3492	1630	Plob	Light_2M	MIS7C	None	0	52932	49762	94.01	48602	46966	88.73	46412	87.68
SE3493_S4	SE3493	1635	Plob	Light_2M	MIS7C	None	0	57903	54482	94.09	53423	51633	89.17	51439	88.84
SE3494_S16	SE3494	1640	Plob	Light_2M	MIS7C	None	0	33263	31244	93.93	30343	28911	86.92	28769	86.49
SE3495_S28	SE3495	1645	Plob	Light_2M	MIS7C	None	0	25655	23319	90.89	22526	21201	82.64	21201	82.64
SE3496_S40	SE3496	1651	Plob	Light_2M	MIS7C	None	0	96122	90131	93.77	88968	86631	90.13	86429	89.92
SE3497_S52	SE3497	1643	Plob	Light_2M	MIS7C	None	0	22071	15498	70.22	14820	13112	59.41	13112	59.41
SE3498_S64	SE3498	1627	Plob	Light_2M	MIS7C	Low	16.66666667	31063	29054	93.53	28231	27090	87.21	27058	87.11
SE3499_S76	SE3499	1621	Plob	Light_2M	MIS7C	Low	16.66666667	28887	27132	93.92	26253	25217	87.3	25200	87.24
SE3500_S88	SE3500	1625	Plob	Light_2M	MIS7C	Low	16.66666667	49383	46177	93.51	45137	43410	87.9	43299	87.68
SE3501_S5	SE3501	1639	Plob	Light_2M	MIS7C	Low	16.66666667	6508	6099	93.72	5756	5391	82.84	5391	82.84
SE3502_S17	SE3502	1633	Plob	Light_2M	MIS7C	Low	16.66666667	16297	15321	94.01	14768	14213	87.21	14213	87.21
SE3503_S29	SE3503	1649	Plob	Light_2M	MIS7C	Low	16.66666667	40817	38353	93.96	37529	36109	88.47	36088	88.41
SE3504_S41	SE3504	1648	Plob	Light_2M	MIS7C	Low	20	38804	36411	93.83	35729	34503	88.92	34448	88.77
SE3505_S53	SE3505	1629	Plob	Light_2M	MIS7C	Low	20	33098	31008	93.69	30321	29253	88.38	29166	88.12
SE3506_S65	SE3506	1642	Plob	Light_2M	MIS7C	Low	20	42783	40322	94.25	39290	37986	88.79	37885	88.55
SE3507_S77	SE3507	1637	Plob	Light_2M	MIS7C	High	60	16175	15296	94.57	14759	14037	86.78	14037	86.78
SE3508_S89	SE3508	1767	Plob	Light_2M	MIS8C	None	0	8451	7844	92.82	7520	7116	84.2	7116	84.2
SE3509_S267	SE3509	1771	Plob	Light_2M	MIS8C	None	0	34898	32048	91.83	31762	30887	88.51	30809	88.28
SE3509_S6	SE3509	1771	Plob	Light_2M	MIS8C	None	0	5683	5219	91.84	4928	4580	80.59	4580	80.59
SE3510_S18	SE3510	1765	Plob	Light_2M	MIS8C	Low	16.66666667	13956	12980	93.01	12535	11960	85.7	11912	85.35
SE3511_S30	SE3511	1778	Plob	Light_2M	MIS8C	Low	16.66666667	24982	23318	93.34	22598	21516	86.13	21486	86.01
SE3512_S42	SE3512	1785	Plob	Light_2M	MIS8C	Low	16.66666667	9457	8791	92.96	8406	7944	84	7922	83.77
SE3513_S269	SE3513	1787	Plob	Light_2M	MIS8C	Low	20	43526	39885	91.63	39507	38947	89.48	38842	89.24
SE3513_S54	SE3513	1787	Plob	Light_2M	MIS8C	Low	20	5324	4923	92.47	4628	4258	79.98	4258	79.98
SE3514_S66	SE3514	1786	Plob	Light_2M	MIS8C	Low	16.66666667	60296	56127	93.09	54883	53411	88.58	53198	88.23
SE3515_S78	SE3515	1769	Plob	Light_2M	MIS8C	Low	33.33333333	74926	69952	93.36	68154	65400	87.29	64357	85.89
SE3516_S90	SE3516	1798	Plob	Light_2M	MIS8C	Low	33.33333333	63672	59534	93.5	57923	55676	87.44	55071	86.49
